article_id,title,link,creator,published_at,created_at
AKR20260522039400001,"장동혁 ""민주당 후보는 갑질 자격증 있어야 되나…심판해야""",https://www.yna.co.kr/view/AKR20260522039400001,이정현,2026-05-22T09:53:53+09:00,2026-05-22T18:51:27.274644+09:00
AKR20260522041200504,"보훈장관 ""스벅코리아에 깊은유감…5·18 허위사실유포 모니터""",https://www.yna.co.kr/view/AKR20260522041200504,김효정,2026-05-22T09:52:41+09:00,2026-05-22T18:51:27.274676+09:00
AKR20260522039200001,"정부, 스쿨존 속도규제 합리화 등 정상화 프로젝트 164개 확정",https://www.yna.co.kr/view/AKR20260522039200001,이상현,2026-05-22T09:50:01+09:00,2026-05-22T18:51:27.274706+09:00
AKR20260522040800001,"李대통령 ""金총리·차지호, 대한민국의 복""…글로벌AI허브 격려",https://www.yna.co.kr/view/AKR20260522040800001,임형섭,2026-05-22T09:46:32+09:00,2026-05-22T18:51:27.274736+09:00
AKR20260522036100001,"李대통령, ILO 사무총장 접견…노동정책 방향 논의",https://www.yna.co.kr/view/AKR20260522036100001,황윤기,2026-05-22T09:33:42+09:00,2026-05-22T18:51:27.274767+09:00
AKR20260522034200065,"박찬대 선대위, '가상자산 신고 누락 의혹' 유정복 고발",https://www.yna.co.kr/view/AKR20260522034200065,홍현기,2026-05-22T09:17:55+09:00,2026-05-22T18:51:27.274797+09:00
AKR20260522031700065,"인천서 행정복지센터 직원이 선거현수막 회수…경찰 ""경위 확인""",https://www.yna.co.kr/view/AKR20260522031700065,최은지,2026-05-22T09:06:21+09:00,2026-05-22T18:51:27.274831+09:00
AKR20260522028400051,박민식 삭발에 부산 북갑 보수 단일화 물 건너가나,https://www.yna.co.kr/view/AKR20260522028400051,오수희,2026-05-22T08:59:55+09:00,2026-05-22T18:51:27.274863+09:00
AKR20260522021900504,[인사] 외교부,https://www.yna.co.kr/view/AKR20260522021900504,김지헌,2026-05-22T08:12:24+09:00,2026-05-22T18:51:27.274893+09:00
AKR20260522017900504,"외교차관, 美의원 등 만나 조인트팩트시트 이행 관심 당부",https://www.yna.co.kr/view/AKR20260522017900504,김지헌,2026-05-22T08:01:44+09:00,2026-05-22T18:51:27.274923+09:00
AKR20260521156500030,"정부, 7월 '모두의 창업' 2차 모집…선발 인원 1만명으로 확대",https://www.yna.co.kr/view/AKR20260521156500030,이상서,2026-05-22T08:00:03+09:00,2026-05-22T18:51:27.274954+09:00
AKR20260522019900051,"한동훈 ""YS 차남 김현철 이사장, 23일 캠프서 지지 선언""",https://www.yna.co.kr/view/AKR20260522019900051,오수희,2026-05-22T07:58:50+09:00,2026-05-22T18:51:27.274985+09:00
AKR20260522013800063,"대전MBC, 김태흠 모두발언 방송 누락…김태흠측 ""공정성 훼손""",https://www.yna.co.kr/view/AKR20260522013800063,김준범,2026-05-22T07:28:06+09:00,2026-05-22T18:51:27.275015+09:00
AKR20260521110400051,[부산 기초단체장 격전지] ⑥ '낙동강 벨트' 사상구 3자 구도,https://www.yna.co.kr/view/AKR20260521110400051,차근호,2026-05-22T07:10:06+09:00,2026-05-22T18:51:27.275057+09:00
AKR20260521110600051,[부산 기초단체장 격전지] ⑤ 단일화로 양자 대결 재편된 연제구,https://www.yna.co.kr/view/AKR20260521110600051,차근호,2026-05-22T07:10:06+09:00,2026-05-22T18:51:27.275089+09:00
AKR20260521110700051,[부산 기초단체장 격전지] ④ '승부도 삼세번' 부산진구,https://www.yna.co.kr/view/AKR20260521110700051,차근호,2026-05-22T07:10:05+09:00,2026-05-22T18:51:27.275121+09:00
AKR20260521110800051,[부산 기초단체장 격전지] ③ 여야 4개 정당 후보 격돌 금정구,https://www.yna.co.kr/view/AKR20260521110800051,차근호,2026-05-22T07:10:03+09:00,2026-05-22T18:51:27.275178+09:00
AKR20260521110900051,[부산 기초단체장 격전지] ② 4년만에 재대결 해운대구,https://www.yna.co.kr/view/AKR20260521110900051,차근호,2026-05-22T07:10:02+09:00,2026-05-22T18:51:27.275214+09:00
AKR20260521111000051,[부산 기초단체장 격전지] ① 현직 빠진 기장군 4자 구도 안갯속,https://www.yna.co.kr/view/AKR20260521111000051,차근호,2026-05-22T07:10:02+09:00,2026-05-22T18:51:27.275245+09:00
AKR20260521111100051,"부산 기초단체장 선거 민주 ""절반 이상"", 국힘 ""전석 수성"" 목표",https://www.yna.co.kr/view/AKR20260521111100051,차근호,2026-05-22T07:10:01+09:00,2026-05-22T18:51:27.275276+09:00
AKR20260521178800001,[오늘의 국회일정](22일·금),https://www.yna.co.kr/view/AKR20260521178800001,안정훈,2026-05-22T07:00:02+09:00,2026-05-22T18:51:27.275311+09:00
AKR20260521165200004,'관저이전 의혹' 尹정부 김대기·윤재순·김오진 오늘 구속 심사,https://www.yna.co.kr/view/AKR20260521165200004,이밝음,2026-05-22T06:00:15+09:00,2026-05-22T18:51:27.275342+09:00
AKR20260522145200007,"결승 앞두고 더 밝아진 내고향, 웃음꽃 피우며 최종 담금질",https://www.yna.co.kr/view/AKR20260522145200007,배진남,2026-05-22T18:02:05+09:00,2026-05-22T18:51:27.275374+09:00
AKR20260522133400504,[북한단신] 국립연극단 창립 80돌 기념보고회,https://www.yna.co.kr/view/AKR20260522133400504,이은정,2026-05-22T17:01:53+09:00,2026-05-22T18:51:27.275440+09:00
AKR20260522078800007,"AWCL 결승 앞둔 내고향 감독 ""거친 경기? 허용 범위 안 최선""",https://www.yna.co.kr/view/AKR20260522078800007,배진남,2026-05-22T12:51:19+09:00,2026-05-22T18:51:27.275472+09:00
